"State Abbreviation","State Name","Reporting Period","State Expanded Medicaid","Preliminary or Updated","Final Report","New Applications Submitted to Medicaid and CHIP Agencies","New Applications Submitted to Medicaid and CHIP Agencies - footnotes","Applications for Financial Assistance Submitted to the State Based Marketplace","Applications for Financial Assistance Submitted to the State Based Marketplace - footnotes","Total Applications for Financial Assistance Submitted at State Level","Total Applications for Financial Assistance Submitted at State Level - footnotes","Individuals Determined Eligible for Medicaid at Application","Individuals Determined Eligible for Medicaid at Application - footnotes","Individuals Determined Eligible for CHIP at Application","Individuals Determined Eligible for CHIP at Application - footnotes","Total Medicaid and CHIP Determinations","Total Medicaid and CHIP Determinations - footnotes","Medicaid and CHIP Child Enrollment","Medicaid and CHIP Child Enrollment - footnotes","Total Medicaid and CHIP Enrollment","Total Medicaid and CHIP Enrollment - footnotes","Total Medicaid Enrollment","Total Medicaid Enrollment - footnotes","Total CHIP Enrollment","Total CHIP Enrollment - footnotes","Total Adult Medicaid Enrollment","Total Adult Medicaid Enrollment - footnotes","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours - footnotes","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days - footnotes","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days - footnotes","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days - footnotes","Total Medicaid and CHIP Determinations Processed in More than 45 Days","Total Medicaid and CHIP Determinations Processed in More than 45 Days - footnotes","Total Call Center Volume (Number of Calls)","Total Call Center Volume (Number of Calls) - footnotes","Average Call Center Wait Time (Minutes)","Average Call Center Wait Time (Minutes) - footnotes","Average Call Center Abandonment Rate","Average Call Center Abandonment Rate - footnotes"
IL,Illinois,201706,Y,P,N,68813,,0,,68813,,43628,,13251,,56879,,1420184,,3046336,,2797074,,249262,,,,,,,,,,,,,,,,,,,
IL,Illinois,201706,Y,U,Y,68813,,0,,68813,,43628,,13251,,56879,,1436185,,3075710,,2824233,,251477,,,,,,,,,,,,,,,,,,,
IL,Illinois,201707,Y,P,N,67016,,0,,67016,,38361,,11994,,50355,,1417408,,3040025,,2789217,,250808,,,,,,,,,,,,,,,,,,,
IL,Illinois,201707,Y,U,Y,67016,,0,,67016,,38361,,11994,,50355,,1431681,,3073670,,2820285,,253385,,,,,,,,,,,,,,,,,,,
IL,Illinois,201708,Y,P,N,78681,,0,,78681,,46748,,15619,,62367,,1409119,,3022660,,2772365,,250295,,,,,,,,,,,,,,,,,,,
IL,Illinois,201708,Y,U,Y,78681,,0,,78681,,46748,,15619,,62367,,1432510,,3078351,,2823816,,254535,,,,,,,,,,,,,,,,,,,
IL,Illinois,201709,Y,P,N,67589,,0,,67589,,46500,,15581,,62081,,1417934,,3042186,,2790471,,251715,,,,,,,,,,,,,,,,,,,
IL,Illinois,201709,Y,U,Y,67589,,0,,67589,,46500,,15581,,62081,,1432856,,3070815,,2816541,,254274,,,,,,,,,,,,,,,,,,,
IL,Illinois,201710,Y,P,N,43382,,0,,43382,,7406,,598,,8004,,1441705,,3166200,,2937918,,228282,,,,,,,,,,,,,,,,,,,
IL,Illinois,201710,Y,U,Y,43382,,0,,43382,,7406,,598,,8004,,1441705,,3166200,,2937918,,228282,,,,,,,,,,,,,,,,,,,
IL,Illinois,201711,Y,P,N,54641,,0,,54641,,33825,,3207,,37032,,1440064,,3166443,,2937222,,229221,,,,,,,,,,,,,,,,,,,
IL,Illinois,201711,Y,U,Y,54641,,0,,54641,,33825,,3207,,37032,,1440064,,3166443,,2937222,,229221,,,,,,,,,,,,,,,,,,,
IL,Illinois,201712,Y,P,N,52396,,0,,52396,,33040,,3237,,36277,,1444931,,3189788,,2964143,,225645,,,,,,,,,,,,,,,,,,,
IL,Illinois,201712,Y,U,Y,52396,,0,,52396,,33040,,3237,,36277,,1444931,,3189788,,2964143,,225645,,,,,,,,,,,,,,,,,,,
IL,Illinois,201801,Y,P,N,57642,,0,,57642,,39297,,4061,,43358,,1423889,,3054889,,2816124,,238765,,,,,,,,,,,,,,,,,,,
IL,Illinois,201801,Y,U,Y,57642,,0,,57642,,39297,,4061,,43358,,1434640,,3076689,,2833653,,243036,,,,,,,,,,,,,,,,,,,
IL,Illinois,201802,Y,P,N,46974,,0,,46974,,42050,,4742,,46792,,1430437,,3153458,,2935728,,217730,,,,8180,,5443,,11604,,4160,,16135,,,,,,,
IL,Illinois,201802,Y,U,Y,46974,,0,,46974,,42050,,4742,,46792,,1430437,,3153458,,2935728,,217730,,,,8180,,5443,,11604,,4160,,16135,,,,,,,
IL,Illinois,201803,Y,P,N,54979,,0,,54979,,49874,,6163,,56037,,1422781,,3132875,,2916048,,216827,,,,8917,,6492,,12317,,5076,,20383,,,,,,,
IL,Illinois,201803,Y,U,Y,54979,,0,,54979,,49874,,6163,,56037,,1422781,,3132875,,2916048,,216827,,,,8917,,6492,,12317,,5076,,20383,,,,,,,
IL,Illinois,201804,Y,P,N,51846,,0,,51846,,47817,,5574,,53391,,1413176,,3104999,,2887682,,217317,,,,7957,,6132,,11840,,5097,,19714,,,,,,,
IL,Illinois,201804,Y,U,Y,51846,,0,,51846,,47817,,5574,,53391,,1413176,,3104999,,2887682,,217317,,,,7957,,6132,,11840,,5097,,19714,,,,,,,
IL,Illinois,201805,Y,P,N,50091,,0,,50091,,50422,,6057,,56479,,1423180,,3122954,,2905048,,217906,,,,,,,,,,,,,,,,,,,
IL,Illinois,201805,Y,U,Y,50091,,0,,50091,,50422,,6057,,56479,,1423180,,3122954,,2905048,,217906,,,,,,,,,,,,,,,,,,,
IL,Illinois,201806,Y,P,N,50018,,0,,50018,,48191,,5874,,54065,,1420256,,3108756,,2887939,,220817,,,,,,,,,,,,,,,,,,,
IL,Illinois,201806,Y,U,Y,50018,,0,,50018,,48191,,5874,,54065,,1420256,,3108756,,2887939,,220817,,,,,,,,,,,,,,,,,,,
IL,Illinois,201807,Y,P,N,53145,,0,,53145,,46313,,5558,,51871,,1418935,,3099179,,2874555,,224624,,,,,,,,,,,,,,,,,,,
IL,Illinois,201807,Y,U,Y,53145,,0,,53145,,46313,,5558,,51871,,1418935,,3099179,,2874555,,224624,,,,,,,,,,,,,,,,,,,
IL,Illinois,201808,Y,P,N,55842,,0,,55842,,53418,,6812,,60230,,1418383,,3089647,,2862080,,227567,,,,,,,,,,,,,,,,,,,
IL,Illinois,201808,Y,U,Y,55842,,0,,55842,,53418,,6812,,60230,,1418383,,3089647,,2862080,,227567,,,,,,,,,,,,,,,,,,,
IL,Illinois,201809,Y,P,N,47069,,0,,47069,,43809,,4805,,48614,,1412823,,3071476,,2839767,,231709,,,,,,,,,,,,,,,,,,,
IL,Illinois,201809,Y,U,Y,47069,,0,,47069,,43809,,4805,,48614,,1412823,,3071476,,2839767,,231709,,,,,,,,,,,,,,,,,,,
