ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,FIPS 2022,CBSA 2023,RUCA,PAY TYPE,FORHP RURAL 2024,POS CERT BEDS,POS TOT BEDS,CR ACUTE BEDS,PSF BEDS
390003,GEISINGER-BLOOMSBURG HOSPITAL,549 EAST FAIR STREET,BLOOMSBURG,PA,17815,5703872100,42037,Micro,1.0,PPS,Rural,50,76,40.0,38.0
390006,GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,5702716211,42093,Micro,1.0,RRC,Rural,393,553,525.0,508.0
390013,WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,5705222000,42119,Micro,4.0,RRC,Rural,120,132,119.0,115.0
390016,UPMC JAMESON,1211 WILMINGTON AVENUE,NEW CASTLE,PA,16105,7246564100,42073,Metro,4.0,RRC,Rural,123,175,134.0,78.0
390030,LEHIGH VALLEY HOSPITAL-SCHUYLKILL,420 SOUTH JACKSON STREET,POTTSVILLE,PA,17901,5706215102,42107,Micro,4.0,RRC,Rural,175,187,118.0,115.0
390039,UPMC SOMERSET,225 SOUTH CENTER AVENUE,SOMERSET,PA,15501,8144435000,42111,Micro,4.0,SCH,Rural,103,111,56.0,50.0
390041,UNIONTOWN HOSPITAL,500 WEST BERKELEY STREET,UNIONTOWN,PA,15401,7244305000,42051,Metro,1.0,PPS,Rural,144,190,134.0,134.0
390048,GEISINGER-LEWISTOWN HOSPITAL,400 HIGHLAND AVENUE,LEWISTOWN,PA,17044,7172485411,42087,Micro,4.0,SCH/RRC,Rural,113,123,107.0,117.0
390056,PENN HIGHLANDS HUNTINGDON,1225 WARM SPRINGS AVE,HUNTINGDON,PA,16652,8146432290,42061,Micro,4.0,SCH,Rural,62,71,71.0,67.0
390079,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,SAYRE,PA,18840,5708886666,42015,Micro,4.0,RRC,Rural,250,304,252.0,244.0
390086,PENN HIGHLANDS DUBOIS,100 HOSPITAL AVENUE,DUBOIS,PA,15801,8143712200,42033,Micro,4.0,SCH/RRC,Rural,202,244,247.0,217.0
390091,UPMC NORTHWEST,100 FAIRFIELD DRIVE,SENECA,PA,16346,8146767600,42121,Micro,4.0,RRC,Rural,90,173,139.0,106.0
