County Name,2020,2021,2022,2023,2024
Adams,"19,673","20,895​","21,693","22,557","19,037"
DuPage,"133,613","151,200","165,485​","182,913","156,350"
Jo Daviess,"3,306","3,715","3,963​","4,080","3,455"
McLean,"30,391","34,011","36,102​","38,254","32,227"
Scott,"1,141","1,251​","1,347​","1,396","1,153"
Alexander,"2,862","2,931​","3,021","3,038","2,619"
Edgar,"5,282","5,755","6,133​","6,613","5,632"
Johnson,"2,871","3,371​","3,755​","3,976","3,460"
Menard,"2,321","2,604","2,735​","2,846","2,424"
Shelby,"4,622","5,077​","5,389​","5,762","4,851"
Bond,"3,617","3,963","4,102","4,270","3,663"
Edwards,"1,578","1,692","1,781​","1,894","1,581"
Kane,"109,031","120,780​","130,540​","142,826","122,291"
Mercer,"2,985","3,345​","3,556​","3,681","3,133"
Stark,"1,290","1,420​","1,571​","1,660","1,449"
Boone,"11,970","13,312​","14,490","15,682","13,280"
Effingham,"6,692","6,958","7,690​","8,159​","8,676"
Kankakee,"30,247","33,526​","35,707​","37,963","32,992"
Monroe,"2,795","3,216​","3,516​","3,780","3,183"
St. Clair,"72,505","79,769​","84,504​","89,246","78,188"
Brown,"1,102","1,255​","1,451","1,549","1,290"
Fayette,"6,021","6,639​","6,993​","7,260","6,164"
Kendall,"18,463","21,605","24,029​","26,664","22,522"
Montgomery,"7,823","8,725","9,367​","9,875","8,625"
Stephenson,"12,757","13,749","14,606​","15,296","13,574"
Bureau,"7,909","8,702","9,313​","9,859","8,442"
Ford,"3,342","3,742​","3,942​","4,107","3,523"
Knox,"15,009","16,121","17,148​","17,837","15,556"
Morgan,"9,544","10,480","11,230​","11,872","10,209"
Tazewell,"27,552","30,515","32,405​","34,222","28,490"
Calhoun,"1,556","1,462","1,370​","1,395","1,213"
Franklin,"13,429","14,873​","16,021​","16,793","14,658"
Lake,"124,187","140,944","153,267​","168,616","145,500"
Moultrie,"2,881","3,255​","3,505​","3,727","3,189"
Union,"5,808","6,219​","6,541​","6,802","5,949"
Carroll,"3,324","3,748​","4,001​","4,212","3,481"
Fulton,"9,067","9,884","10,514​","11,021","9,362"
LaSalle,"26,742","29,654","32,084​","34,116","29,295"
Ogle,"10,539","11,689​","12,682​","13,461","11,492"
Vermilion,"26,257","29,090​","31,014​","32,717","29,419"
Cass,"4,072","4,472","4,908​","5,288","4,557"
Gallatin,"2,067","2,067​","2,025​","2,089","1,774"
Lawrence,"3,725​​","4,245","4,402​","4,699","4,288"
Peoria,"55,583","60,749","64,409​","67,508","58,885"
Wabash,"2,821","3,103","3,333​","3,535","3,067"
Champaign,"42,282","47,878","52,446​","55,958","49,177"
Greene,"3,742","4,068​","4,252​","4,385","3,706"
Lee,"7,602","8,507","8,991​","9,598","7,999"
Perry,"5,038","5,507","5,957​","6,340","5,456"
Warren,"4,255","4,765​","5,203​","5,515","4,837"
Christian,"9,014","9,869","10,388​","10,819","9,279"
Grundy,"8,662","9,664​","10,449​","11,432","9,778"
Livingston,"8,005","8,828​","9,458​","9,965","8,622"
Piatt,"2,551","2,902","3,177​","3,396","2,799"
Washington,"2,548","2,690​","2,879​","3,119","2,531"
Clark,"4,080","4,443","4,808​","5,114","4,456"
Hamilton,"2,159","2,392","2,589​","2,689","2,179"
Logan,"7,299","7,912","8,462​","8,870","7,519"
Pike,"4,508","4,935​","5,145​","5,352","4,543"
Wayne,"4,065","4,522​","4,846​","4,987","4,364"
Clay,"3,992","4,418","4,658​","4,853","4,211"
Hancock,"4,315","4,690​","4,968​","5,192","4,377"
Macon,"33,079","36,284​","38,636​","41,039","36,719"
Pope,"1,055","1,171","1,206​","1,219","1,013"
White,"4,081","4,561​","4,786​","4,933","4,259"
Clinton,"5,726","6,412​","6,815​","7,099","5,885"
Hardin,"1,431","1,522​","1,601​","1,688","1,507"
Macoupin,"11,477","12,658​","13,376​","13,909","11,944"
Pulaski,"2,186","2,278","2,404​","2,531","2,276"
Whiteside,"13,930","15,410","16,613​","17,541","15,298"
Coles,"14,475","16,066","17,077​","18,111","15,674"
Henderson,"1,572","1,702​","1,772​","2,006","1,638"
Madison,"60,061","66,907​","71,989​","76,037","65,819"
Putnam,920,"1,017​","1,059​","1,126","1,015"
Will,"123,239","138,465","150,492​","164,282","140,875"
Cook,"1,451,599​","1,604,213","1,719,615​","1,868,393","1,638,367"
Henry,"10,399","11,394​","12,135​","12,886","10,893"
Marion,"14,029","15,372","16,184​","17,078","14,960"
Randolph,"7,438","8,245​","8,823​","9,350","7,902"
Williamson,"19,867","22,085​","23,340​","24,218","20,830"
Crawford,"4,719","5,246","5,749​","6,082","5,270"
Iroquois,"6,933","7,572​","8,185​","8,722","7,433"
Marshall,"2,593","2,871​","3,183​","3,369","2,877"
Richland,"4,570","5,110​","5,423​","5,646","4,941"
Winnebago,"92,802","102,593","110,600​","117,670","103,492"
Cumberland,"2,586","2,810​","2,962​","3,179","2,662"
Jackson,"16,584","18,414","19,914​","21,020","18,458"
Mason,"4,086","4,279​","4,433​","4,654","3,943"
Rock Island,"38,831","43,923​","47,789​","51,005","45,371"
Woodford,"4,901","5,413​","5,835​","6,182","5,199"
DeKalb,"21,372","24,158","26,220​","27,841","23,755"
Jasper,"2,167","2,279​","2,396​","2,474","2,117"
Massac,"5,235","5,470​","5,837​","6,087","5,222"
Saline,"8,794","9,427​","9,986​","10,402","9,256"
De Witt,"3,915","4,283","4,430​","4,640","3,992"
Jefferson,"11,435","12,623","13,606​","14,277","12,396"
McDonough,"6,367","7,234​","7,931​","8,414","7,328"
Sangamon,"51,145","55,860​","58,967​","62,035","53,674"
Douglas,"4,159","4,761","5,072​","5,557","4,703"
Jersey,"4,602","4,988​","5,226​","5,510","4,677"
McHenry,"44,795","51,497","56,696​","62,576","52,496"
Schuyler,"1,447","1,612​","1,753​","1,876","1,682"
