County Name,2020 Enrollment,2021 Enrollment,2022 Enrollment,2023 Enrollment,2024 Enrollment
adams,19673,20895​,21693,22557,19037
alexander,2862,2931​,3021,3038,2619
bond,3617,3963,4102,4270,3663
boone,11970,13312​,14490,15682,13280
brown,1102,1255​,1451,1549,1290
bureau,7909,8702,9313​,9859,8442
calhoun,1556,1462,1370​,1395,1213
carroll,3324,3748​,4001​,4212,3481
cass,4072,4472,4908​,5288,4557
champaign,42282,47878,52446​,55958,49177
christian,9014,9869,10388​,10819,9279
clark,4080,4443,4808​,5114,4456
clay,3992,4418,4658​,4853,4211
clinton,5726,6412​,6815​,7099,5885
coles,14475,16066,17077​,18111,15674
cook,1451599​,1604213,1719615​,1868393,1638367
crawford,4719,5246,5749​,6082,5270
cumberland,2586,2810​,2962​,3179,2662
dekalb,21372,24158,26220​,27841,23755
dewitt,3915,4283,4430​,4640,3992
douglas,4159,4761,5072​,5557,4703
dupage,133613,151200,165485​,182913,156350
edgar,5282,5755,6133​,6613,5632
edwards,1578,1692,1781​,1894,1581
effingham,6692,6958,7690​,8159​,8676
fayette,6021,6639​,6993​,7260,6164
ford,3342,3742​,3942​,4107,3523
franklin,13429,14873​,16021​,16793,14658
fulton,9067,9884,10514​,11021,9362
gallatin,2067,2067​,2025​,2089,1774
greene,3742,4068​,4252​,4385,3706
grundy,8662,9664​,10449​,11432,9778
hamilton,2159,2392,2589​,2689,2179
hancock,4315,4690​,4968​,5192,4377
hardin,1431,1522​,1601​,1688,1507
henderson,1572,1702​,1772​,2006,1638
henry,10399,11394​,12135​,12886,10893
iroquois,6933,7572​,8185​,8722,7433
jackson,16584,18414,19914​,21020,18458
jasper,2167,2279​,2396​,2474,2117
jefferson,11435,12623,13606​,14277,12396
jersey,4602,4988​,5226​,5510,4677
jodaviess,3306,3715,3963​,4080,3455
johnson,2871,3371​,3755​,3976,3460
kane,109031,120780​,130540​,142826,122291
kankakee,30247,33526​,35707​,37963,32992
kendall,18463,21605,24029​,26664,22522
knox,15009,16121,17148​,17837,15556
lake,124187,140944,153267​,168616,145500
lasalle,26742,29654,32084​,34116,29295
lawrence,3725​​,4245,4402​,4699,4288
lee,7602,8507,8991​,9598,7999
livingston,8005,8828​,9458​,9965,8622
logan,7299,7912,8462​,8870,7519
macon,33079,36284​,38636​,41039,36719
macoupin,11477,12658​,13376​,13909,11944
madison,60061,66907​,71989​,76037,65819
marion,14029,15372,16184​,17078,14960
marshall,2593,2871​,3183​,3369,2877
mason,4086,4279​,4433​,4654,3943
massac,5235,5470​,5837​,6087,5222
mcdonough,6367,7234​,7931​,8414,7328
mchenry,44795,51497,56696​,62576,52496
mclean,30391,34011,36102​,38254,32227
menard,2321,2604,2735​,2846,2424
mercer,2985,3345​,3556​,3681,3133
monroe,2795,3216​,3516​,3780,3183
montgomery,7823,8725,9367​,9875,8625
morgan,9544,10480,11230​,11872,10209
moultrie,2881,3255​,3505​,3727,3189
ogle,10539,11689​,12682​,13461,11492
peoria,55583,60749,64409​,67508,58885
perry,5038,5507,5957​,6340,5456
piatt,2551,2902,3177​,3396,2799
pike,4508,4935​,5145​,5352,4543
pope,1055,1171,1206​,1219,1013
pulaski,2186,2278,2404​,2531,2276
putnam,920,1017​,1059​,1126,1015
randolph,7438,8245​,8823​,9350,7902
richland,4570,5110​,5423​,5646,4941
rockisland,38831,43923​,47789​,51005,45371
saline,8794,9427​,9986​,10402,9256
sangamon,51145,55860​,58967​,62035,53674
schuyler,1447,1612​,1753​,1876,1682
scott,1141,1251​,1347​,1396,1153
shelby,4622,5077​,5389​,5762,4851
stark,1290,1420​,1571​,1660,1449
stclair,72505,79769​,84504​,89246,78188
stephenson,12757,13749,14606​,15296,13574
tazewell,27552,30515,32405​,34222,28490
union,5808,6219​,6541​,6802,5949
vermilion,26257,29090​,31014​,32717,29419
wabash,2821,3103,3333​,3535,3067
warren,4255,4765​,5203​,5515,4837
washington,2548,2690​,2879​,3119,2531
wayne,4065,4522​,4846​,4987,4364
white,4081,4561​,4786​,4933,4259
whiteside,13930,15410,16613​,17541,15298
will,123239,138465,150492​,164282,140875
williamson,19867,22085​,23340​,24218,20830
winnebago,92802,102593,110600​,117670,103492
woodford,4901,5413​,5835​,6182,5199
