County Name,2024 Enrollment,2024 Population Estimate,Percentage
adams,19037,64109,29.694738648239717%
alexander,2619,4594,57.00914235959947%
bond,3663,16576,22.098214285714285%
boone,13280,53313,24.909496745634275%
brown,1290,6307,20.453464404629777%
bureau,8442,32486,25.986578833959246%
calhoun,1213,4224,28.716856060606062%
carroll,3481,15444,22.53949753949754%
cass,4557,12713,35.84519782899394%
champaign,49177,212374,23.1558477026378%
christian,9279,33247,27.909285048275034%
clark,4456,15076,29.556911647651894%
clay,4211,12821,32.84455190702753%
clinton,5885,37087,15.868093941273223%
coles,15674,46423,33.763436227731944%
cook,1638367,5182617,31.61273541919073%
crawford,5270,18388,28.659995649336523%
cumberland,2662,10305,25.832120329936924%
dekalb,23755,101335,23.442048650515616%
dewitt,3992,15319,26.05914224166068%
douglas,4703,19824,23.723769168684424%
dupage,156350,937142,16.68370428387587%
edgar,5632,16398,34.34565190876936%
edwards,1581,5984,26.420454545454547%
effingham,8676,34602,25.073695162129354%
fayette,6164,21157,29.13456539206882%
ford,3523,13451,26.191361237082745%
franklin,14658,37033,39.58091431966084%
fulton,9362,32510,28.797293140572133%
gallatin,1774,4690,37.82515991471215%
greene,3706,11417,32.4603661206972%
grundy,9778,53835,18.16290517321445%
hamilton,2179,7818,27.871578408800207%
hancock,4377,17008,25.734948259642522%
hardin,1507,3550,42.45070422535211%
henderson,1638,6048,27.083333333333332%
henry,10893,48177,22.610374244971666%
iroquois,7433,26067,28.514980626846203%
jackson,18458,53199,34.696140904904226%
jasper,2117,9092,23.284205895292565%
jefferson,12396,36107,34.33129310106074%
jersey,4677,21150,22.113475177304963%
jodaviess,3455,21528,16.048866592344854%
johnson,3460,13320,25.975975975975974%
kane,122291,520997,23.472496002856065%
kankakee,32992,106410,31.004604830373083%
kendall,22522,143171,15.730839345956932%
knox,15556,48716,31.93201412267017%
lake,145500,718604,20.247591162865778%
lasalle,29295,108390,27.027401051757543%
lawrence,4288,14801,28.971015471927576%
lee,7999,33544,23.846291438111137%
livingston,8622,35375,24.37314487632509%
logan,7519,27518,27.323933425394287%
macon,36719,100737,36.450360840604745%
macoupin,11944,43895,27.210388426927896%
madison,65819,263017,25.024618180573878%
marion,14960,36437,41.05716716524412%
marshall,2877,11552,24.9047783933518%
mason,3943,12543,31.435860639400463%
massac,5222,13627,38.32098040654583%
mcdonough,7328,26662,27.484809841722303%
mchenry,52496,315959,16.614813947379247%
mclean,32227,172069,18.72911448314339%
menard,2424,11963,20.262475967566665%
mercer,3133,15292,20.48783677739995%
monroe,3183,34969,9.102347793760188%
montgomery,8625,27615,31.233025529603474%
morgan,10209,32618,31.298669446317984%
moultrie,3189,14365,22.19979115906718%
ogle,11492,51345,22.381926185607167%
peoria,58885,179630,32.78127261593275%
perry,5456,20272,26.91397000789266%
piatt,2799,16628,16.833052682222757%
pike,4543,14258,31.86281385888624%
pope,1013,3703,27.356197677558736%
pulaski,2276,4879,46.64890346382455%
putnam,1015,5633,18.018817681519618%
randolph,7902,29903,26.42544226331806%
richland,4941,15362,32.16378075771384%
rockisland,45371,142731,31.78776859967351%
saline,9256,22826,40.55024971523701%
sangamon,53674,194345,27.61789600967352%
schuyler,1682,6750,24.918518518518518%
scott,1153,4880,23.62704918032787%
shelby,4851,20542,23.615032616103594%
stark,1449,5272,27.48482549317147%
stclair,78188,251149,31.13211679122752%
stephenson,13574,43088,31.502970664686224%
tazewell,28490,129821,21.945602021244635%
union,5949,16886,35.23036835248134%
vermilion,29419,71106,41.37344246617726%
wabash,3067,10979,27.935148920666723%
warren,4837,16217,29.826725041622986%
washington,2531,13535,18.69966752862948%
wayne,4364,15928,27.398292315419386%
white,4259,13395,31.795446061963418%
whiteside,15298,54657,27.989095632764332%
will,140875,708583,19.881227746079148%
williamson,20830,67064,31.059883096743405%
winnebago,103492,283790,36.46781070509884%
woodford,5199,38290,13.577957691303213%
