ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,FIPS 2022,CBSA 2023,RUCA,PAY TYPE,FORHP RURAL 2024,POS CERT BEDS,POS TOT BEDS,CR ACUTE BEDS,PSF BEDS
140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,3096475240,17057,Micro,4.0,SCH,Rural,100,144,43.0,39.0
140011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,6189422171,17199,Micro,1.0,MDH,Rural,104,104,85.0,76.0
140012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,8152885531,17103,Micro,4.0,PPS,Rural,80,80,80.0,59.0
140015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,2172231200,17001,Micro,4.0,SCH/RRC,Rural,312,312,309.0,296.0
140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,2173422121,17049,Micro,4.0,SCH/RRC,Rural,146,146,133.0,126.0
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,6184368000,17121,Micro,4.0,MDH/RRC,Rural,125,125,92.0,90.0
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,8156250400,17195,Micro,4.0,MDH/RRC,Rural,98,98,95.0,89.0
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,6188991469,17081,Micro,4.0,RRC,Rural,175,175,111.0,118.0
140059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,6184986402,17083,Metro,7.0,MDH,Rural,67,67,46.0,44.0
140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,3093443161,17095,Micro,4.0,SCH/RRC,Rural,166,166,81.0,77.0
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,3098334101,17109,Micro,4.0,SCH,Rural,144,144,45.0,46.0
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,2174435000,17183,Micro,1.0,RRC,Rural,210,210,100.0,96.0
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,8159422932,17063,Metro,4.0,PPS,Rural,89,89,89.0,84.0
140110,OSF SAINT ELIZABETH MEDICAL CENTER,1100 E NORRIS DRIVE,OTTAWA,IL,61350,8154333100,17099,Micro,2.0,RRC,Rural,50,50,89.0,90.0
140137,HSHS HOLY FAMILY HOSPITAL,200 HEALTH CARE DR,GREENVILLE,IL,62246,6186641230,17005,Metro,7.0,PPS,Rural,44,60,28.0,24.0
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,6185264511,17027,Metro,7.0,PPS,Rural,85,96,46.0,42.0
140147,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,6183952131,17159,Neither,7.0,SCH,Rural,123,151,47.0,40.0
