ID,NAME,ADDRESS,CITY,STATE,ZIP,Geocodio Latitude,Geocodio Longitude,Medicaid shortfall,PHONE
140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,40.553478,-90.039253,14197860.0,3096475240
140011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,37.80123,-89.026777,3720767.0,6189422171
140012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,41.844645,-89.479974,7253398.0,8152885531
140015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,39.93613,-91.399429,17905350.0,2172231200
140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,39.125637,-88.550359,9985696.0,2173422121
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,38.529053,-89.11617,11038654.0,6184368000
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,41.80235,-89.696799,14033821.0,8156250400
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,38.293269,-88.892273,19201446.0,6188991469
140059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,39.11041,-90.343125,1318530.0,6184986402
140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,40.987003,-90.359541,10356330.0,3093443161
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,40.44714,-90.664609,7532974.0,3098334101
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,40.135454,-87.645047,10731962.0,2174435000
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,41.369724,-88.427166,13031632.0,8159422932
140110,OSF SAINT ELIZABETH MEDICAL CENTER,1100 E NORRIS DRIVE,OTTAWA,IL,61350,41.356567,-88.826913,6436273.0,8154333100
140137,HSHS HOLY FAMILY HOSPITAL,200 HEALTH CARE DR,GREENVILLE,IL,62246,38.903046,-89.408073,1702291.0,6186641230
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,38.625124,-89.525996,2112937.0,6185264511
140147,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,38.735186,-88.077089,2590000.0,6183952131
140147,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,38.735186,-88.077089,2590000.0,6183952131
140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,42.295768,-89.638009,8265071.0,8155996000
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,40.873491,-88.637192,6806031.0,8158422828
