ID,NAME,ADDRESS,CITY_x,STATE,ZIP,PHONE,FIPS 2022,CBSA 2023,RUCA,PAY TYPE,FORHP RURAL 2024,POS CERT BEDS,POS TOT BEDS,CR ACUTE BEDS,PSF BEDS,"Medicaid_ID",CITY_y,HOSPITAL,FYB,FYE
14-0001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,3096475240,17057,Micro,4,SCH,Rural,100,144,43.0,39.0,3002,CANTON,GRAHAM,07/01/22,06/30/23
14-0011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,6189422171,17199,Micro,1,MDH,Rural,104,104,85.0,76.0,8008,HERRIN,HERRIN,04/01/22,03/31/23
14-0012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,8152885531,17103,Micro,4,PPS,Rural,80,80,80.0,59.0,4008,DIXON,K.S.B.,01/01/23,12/31/23
14-0015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,2172231200,17001,Micro,4,SCH/RRC,Rural,312,312,309.0,296.0,17001,QUINCY,BLESSING,10/01/22,09/30/23
14-0032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,2173422121,17049,Micro,4,SCH/RRC,Rural,146,146,133.0,126.0,5003,EFFINGHAM,SAINT ANTHONY MEMORIAL,07/01/22,06/30/23
14-0034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,6184368000,17121,Micro,4,MDH/RRC,Rural,125,125,92.0,90.0,3011,CENTRALIA,SAINT MARY'S,01/01/23,12/31/23
14-0043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,8156250400,17195,Micro,4,MDH/RRC,Rural,98,98,95.0,89.0,19010,STERLING,CGH MEDICAL CENTER,05/01/22,04/30/23
14-0046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,6188991469,17081,Micro,4,RRC,Rural,175,175,111.0,118.0,13014,MOUNT VERNON,GOOD SAMARITAN,01/01/23,12/31/23
14-0059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,6184986402,17083,Metro,7,MDH,Rural,67,67,46.0,44.0,10005,JERSEYVILLE,JERSEY COMMUNITY,07/01/22,06/30/23
14-0064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,3093443161,17095,Micro,4,SCH/RRC,Rural,166,166,81.0,77.0,7002,GALESBURG,SAINT MARY'S,10/01/22,09/30/23
14-0089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,3098334101,17109,Micro,4,SCH,Rural,144,144,45.0,46.0,13021,MACOMB,McDONOUGH DISTRICT,07/01/22,06/30/23
14-0093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,2174435000,17183,Micro,1,RRC,Rural,210,210,100.0,96.0,4001,DANVILLE,SACRED HEART MED CTR (USMC),10/01/22,09/30/23
14-0101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,8159422932,17063,Metro,4,PPS,Rural,89,89,89.0,84.0,13011,MORRIS,MORRIS,01/01/23,12/31/23
14-0110,OSF SAINT ELIZABETH MEDICAL CENTER,1100 E NORRIS DRIVE,OTTAWA,IL,61350,8154333100,17099,Micro,2,RRC,Rural,50,50,89.0,90.0,15010,OTTAWA,ST. ELIZABETH MED CTR,10/01/22,09/30/23
14-0137,HSHS HOLY FAMILY HOSPITAL,200 HEALTH CARE DR,GREENVILLE,IL,62246,6186641230,17005,Metro,7,PPS,Rural,44,60,28.0,24.0,7008,GREENVILLE,HOLY FAMILY,07/01/22,06/30/23
14-0145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,6185264511,17027,Metro,7,PPS,Rural,85,96,46.0,42.0,2010,BREESE,SAINT JOSEPH'S,07/01/22,06/30/23
14-0147,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,6183952131,17159,Neither,7,SCH,Rural,123,151,47.0,40.0,15006,OLNEY,RICHLAND MEMORIAL,01/01/23,12/31/23
14-0160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,8155996000,17177,Micro,4,MDH/RRC,Rural,203,203,100.0,79.0,6005,FREEPORT,FREEPORT MEMORIAL,01/01/23,12/31/23
14-0161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,8158422828,17105,Micro,4,SCH,Rural,81,81,42.0,38.0,16010,PONTIAC,SAINT JAMES,10/01/22,09/30/23
14-0164,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,CARBONDALE,IL,62901,6185490721,17077,Micro,1,RRC,Rural,140,140,175.0,170.0,3005,CARBONDALE,MEMORIAL,04/01/22,03/31/23
14-0184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DEYOUNG,MARION,IL,62959,6189987000,17199,Micro,1,PPS,Rural,92,92,94.0,91.0,13017,MARION,HEARTLAND REG. MED. CTR.,05/01/22,01/13/23
14-0184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DEYOUNG,MARION,IL,62959,6189987000,17199,Micro,1,PPS,Rural,92,92,94.0,91.0,13017,MARION,HEARTLAND REG. MED. CTR.,01/14/23,09/30/23
14-0189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE P O BOX 372,MATTOON,IL,61938,2172582513,17029,Micro,4,SCH,Rural,203,203,100.0,76.0,13046,MATTOON,SARAH BUSH LINCOLN,07/01/22,06/30/23
14-0210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,6182537671,17165,Neither,7,SCH,Rural,78,78,40.0,36.0,8019,HARRISBURG,HARRISBURG,04/01/22,03/31/23
14-0294,DEACONESS ILLINOIS CROSSROADS,8 DOCTORS PARK RD,MOUNT VERNON,IL,62864,6182445500,17081,Micro,4,MDH,Rural,56,56,47.0,45.0,13297,MOUNT VERNON,CROSSROADS COMMUNITY,01/01/23,09/30/23
14-1300,THOMAS H BOYD MEMORIAL HOSPITAL,800 SCHOOL ST,CARROLLTON,IL,62016,2179426946,17061,Neither,10,CAH,Rural,25,25,25.0,,3009,CARROLLTON,THOMAS H. BOYD MEMORIAL,09/01/22,08/31/23
14-1301,KIRBY MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,MONTICELLO,IL,61856,2177622115,17147,Metro,7,CAH,Rural,16,16,16.0,,13010,MONTICELLO,KIRBY MED. CTR.,07/01/22,06/30/23
