ID,"M'CAID
PROV.
#",CITY,HOSPITAL,FYB,FYE
14-1304,1001,ALEDO,GENESIS,07/01/22,06/30/23
14-0002,1002,ALTON,ALTON MEMORIAL,01/01/23,12/31/23
14-0052,1003,ALTON,SAINT ANTHONY'S,10/01/22,09/30/23
14-1342,1006,ANNA,UNION COUNTY,01/01/23,09/30/23
14-0252,1011,ARLINGTON HEIGHTS,NORTHWEST COMMUNITY,01/01/23,12/31/23
14-0029,1007,AURORA,RUSH - COPLEY MED CTR,07/01/22,06/30/23
14-0174,1012,AURORA,MERCY CENTER,07/01/22,06/30/23
14-0291,2134,BARRINGTON,GOOD SHEPHERD,01/01/23,12/31/23
14-0185,2015,BELLEVILLE,MEMORIAL,01/01/23,12/31/23
14-0187,2002,BELLEVILLE,SAINT ELIZABETH'S,07/01/22,06/30/23
14-1321,2014,BENTON,FRANKLIN,07/01/22,06/30/23
14-0054,2006,BERWYN,MACNEAL,07/01/22,06/30/23
14-0162,2008,BLOOMINGTON,SAINT JOSEPH'S,10/01/22,09/30/23
14-0304,2005,BOLINGBROOK,ADVENTIST BOLINGBROOK,01/01/23,12/31/23
14-0145,2010,BREESE,SAINT JOSEPH'S,07/01/22,06/30/23
14-0001,3002,CANTON,GRAHAM,07/01/22,06/30/23
14-0164,3005,CARBONDALE,MEMORIAL,04/01/22,03/31/23
14-1347,3007,CARLINVILLE,CARLINVILLE AREA,08/01/22,07/31/23
14-1300,3009,CARROLLTON,THOMAS H. BOYD MEMORIAL,09/01/22,08/31/23
14-1305,3010,CARTHAGE,MEMORIAL,01/01/23,12/31/23
14-0034,3011,CENTRALIA,SAINT MARY'S,01/01/23,12/31/23
14-4029,3013,CHAMPAIGN,THE PAVILION FOUNDATION,01/01/23,12/31/23
14-1338,3091,CHESTER,MEMORIAL,07/01/22,06/30/23
14-3300,3025,CHICAGO,ANN & ROBERT LURIE CHILDREN'S,09/01/22,08/31/23
14-0251,3085,CHICAGO,COMMUNITY FIRST MED CTR,01/01/23,12/31/23
14-4039,3021,CHICAGO,GARFIELD PARK,07/01/22,06/30/23
14-4026,3452,CHICAGO,HARTGROVE,01/01/23,12/31/23
14-0133,3032,CHICAGO,HOLY CROSS,07/01/22,06/30/23
14-0158,3042,CHICAGO,INSIGHT MED CTR (MERCY),01/01/23,12/31/23
