ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,FIPS 2022,CBSA 2023,RUCA,PAY TYPE,FORHP RURAL 2024,POS CERT BEDS,POS TOT BEDS,CR ACUTE BEDS,PSF BEDS
14-0001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,3096475240,17057,Micro,4,SCH,Rural,100,144,43,39
14-0011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,6189422171,17199,Micro,1,MDH,Rural,104,104,85,76
14-0012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,8152885531,17103,Micro,4,PPS,Rural,80,80,80,59
14-0015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,2172231200,17001,Micro,4,SCH/RRC,Rural,312,312,309,296
14-0032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,2173422121,17049,Micro,4,SCH/RRC,Rural,146,146,133,126
14-0034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,6184368000,17121,Micro,4,MDH/RRC,Rural,125,125,92,90
14-0043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,8156250400,17195,Micro,4,MDH/RRC,Rural,98,98,95,89
14-0046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,6188991469,17081,Micro,4,RRC,Rural,175,175,111,118
14-0059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,6184986402,17083,Metro,7,MDH,Rural,67,67,46,44
14-0064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,3093443161,17095,Micro,4,SCH/RRC,Rural,166,166,81,77
14-0089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,3098334101,17109,Micro,4,SCH,Rural,144,144,45,46
